long,lat,id,estacion,linea
-58.3989275853601,-34.635750180343,1.0,CASEROS,H
-58.4009695560165,-34.6293756575728,2.0,INCLAN - MEZQUITA AL AHMAD,H
-58.402322730424,-34.6230923205019,3.0,HUMBERTO 1°,H
-58.40473171649,-34.6152421522706,4.0,VENEZUELA,H
-58.4060363810352,-34.6089352416215,5.0,ONCE - 30 DE DICIEMBRE,H
-58.3805743428896,-34.6042452029629,6.0,9 DE JULIO,D
-58.3979237555734,-34.5997570807639,7.0,FACULTAD DE MEDICINA,D
-58.3851423588013,-34.6015871651394,8.0,TRIBUNALES - TEATRO COLÓN,D
-58.4071613201899,-34.5916278437199,9.0,AGÜERO,D
-58.4159554190067,-34.5851559440493,10.0,R.SCALABRINI ORTIZ,D
-58.4211960101264,-34.5814111936045,11.0,PLAZA ITALIA,D
-58.4257114411123,-34.5784220227904,12.0,PALERMO,D
-58.3740182164816,-34.5911938083332,13.0,RETIRO,C
-58.3781557828244,-34.6017699230114,14.0,LAVALLE,C
-58.3795299800739,-34.604843739914,15.0,DIAGONAL NORTE,C
-58.3806107179579,-34.6089833148827,16.0,AV. DE MAYO,C
-58.38044446966,-34.6126172798037,17.0,MORENO,C
-58.3801736104752,-34.6181255992933,18.0,INDEPENDENCIA,C
-58.3814344339343,-34.6276194522548,19.0,CONSTITUCION,C
-58.3750715182636,-34.6032972855775,20.0,FLORIDA,B
-58.3807148471409,-34.6036371051817,21.0,C. PELLEGRINI,B
-58.3872961335408,-34.6040935531057,22.0,URUGUAY,B
-58.3923142350887,-34.6044195428608,23.0,CALLAO - MAESTRO ALFREDO BRAVO,B
-58.399474256679,-34.6046429679193,24.0,PASTEUR - AMIA,B
-58.4053994398434,-34.6045810553512,25.0,PUEYRREDON,B
-58.4117625996321,-34.6040795173475,26.0,CARLOS GARDEL,B
-58.4209624702706,-34.6031649010973,27.0,ALMAGRO - MEDRANO,B
-58.4312738603246,-34.6021622293427,28.0,ANGEL GALLARDO,B
-58.4397714984155,-34.5989673641588,29.0,MALABIA - OSVALDO PUGLIESE,B
-58.4475730925312,-34.5917181536198,30.0,DORREGO,B
-58.3742677264304,-34.6085590738532,31.0,PERU,A
-58.3790851530908,-34.608881721215,32.0,PIEDRAS,A
-58.3822324010181,-34.6090998065519,33.0,LIMA,A
-58.3867771940873,-34.6094125865027,34.0,SAENZ PEÑA,A
-58.3926688246648,-34.6092256843174,35.0,CONGRESO - PDTE. DR. RAÚL R. ALFONSÍN,A
-58.3984269918123,-34.6096459617052,36.0,PASCO,A
-58.401207534233,-34.6098335784398,37.0,ALBERTI,A
-58.4067071165088,-34.6098172456706,38.0,PLAZA DE MISERERE,A
-58.4151857088376,-34.6107816904504,39.0,LORIA,A
-58.4218156713706,-34.6117702291255,40.0,CASTRO BARROS,A
-58.4295003232997,-34.6152056103312,41.0,RIO DE JANEIRO,A
-58.4364285288493,-34.6182799671446,42.0,ACOYTE,A
-58.4411776251109,-34.6204052128589,43.0,PRIMERA JUNTA,A
-58.3736842241685,-34.6092424288608,44.0,BOLIVAR,E
-58.3775808865406,-34.6128491058186,45.0,BELGRANO,E
-58.3815349417122,-34.6179373939772,46.0,INDEPENDENCIA,E
-58.3851485496238,-34.6223394919367,47.0,SAN JOSE,E
-58.3915116999715,-34.6227196661278,48.0,ENTRE RIOS - RODOLFO WALSH,E
-58.3970680746626,-34.6231098657791,49.0,PICHINCHA,E
-58.4029365802561,-34.6238657115835,50.0,JUJUY,E
-58.4093907834436,-34.6246537864662,51.0,URQUIZA,E
-58.4338162502395,-34.6280175487742,52.0,JOSE MARIA MORENO,E
-58.4421707059652,-34.6310418421655,53.0,EMILIO MITRE,E
-58.4112939013936,-34.5882371084182,54.0,BULNES,D
-58.4023953425351,-34.5944257186285,55.0,PUEYRREDON,D
-58.3931251809727,-34.599639552419,56.0,CALLAO,D
-58.3778190509867,-34.5950574047792,57.0,SAN MARTIN,C
-58.3799211788651,-34.6219167322081,58.0,SAN JUAN,C
-58.4502782563709,-34.6363891893858,59.0,MEDALLA MILAGROSA,E
-58.4267890228972,-34.627015467002,60.0,AV. LA PLATA,E
-58.4155328189678,-34.6253661058926,61.0,BOEDO,E
-58.4350135337338,-34.5751783641113,62.0,MINISTRO CARRANZA - MIGUEL ABUELO,D
-58.4446681483349,-34.5700123078257,63.0,OLLEROS,D
-58.4521256033889,-34.5662152421589,64.0,JOSE HERNANDEZ,D
-58.456489134589,-34.5623090869974,65.0,JURAMENTO,D
-58.455029286281,-34.5871978529904,66.0,FEDERICO LACROZE,B
-58.4616517616898,-34.6433121624098,67.0,PLAZA DE LOS VIRREYES - EVA PERON,E
-58.4578917557731,-34.640137352298,68.0,VARELA,E
-58.3739558069511,-34.6078023364289,69.0,CATEDRAL,D
-58.3709684989674,-34.6088103091689,70.0,PLAZA DE MAYO,A
-58.4623784082243,-34.5556417664261,71.0,CONGRESO DE TUCUMAN,D
-58.3699298501224,-34.6029894966332,72.0,LEANDRO N. ALEM,B
-58.4662272046921,-34.5840946201161,73.0,TRONADOR - VILLA ORTÚZAR,B
-58.4742408261771,-34.5812488459579,74.0,DE LOS INCAS -PQUE. CHAS,B
-58.4567097975238,-34.6266665931803,75.0,CARABOBO,A
-58.4486476540264,-34.6235289528893,76.0,PUAN,A
-58.4054503284842,-34.6044902016081,77.0,CORRIENTES,H
-58.4057948259686,-34.6384059882851,78.0,PARQUE PATRICIOS,H
-58.4123851512005,-34.6412689433909,79.0,HOSPITALES,H
-58.4810135036721,-34.5777973775423,80.0,ECHEVERRÍA,B
-58.4863853478891,-34.5743189142748,81.0,JUAN MANUEL DE ROSAS - VILLA URQUIZA,B
-58.4696396292247,-34.630707087006,83.0,SAN PEDRITO,A
-58.4635405106286,-34.629087226797,82.0,SAN JOSÉ DE FLORES,A
-58.4037214964387,-34.5984551117734,84.0,CÓRDOBA,H
-58.3972155751019,-34.5874615464262,85.0,LAS HERAS,H
-58.4023761750349,-34.5945253962188,86.0,SANTA FE - CARLOS JAUREGUI,H
-58.39101882656,-34.5830363400093,87.0,FACULTAD DE DERECHO - JULIETA LANTERI,H
-58.3758498374305,-34.592114361931,90.0,RETIRO,E
-58.3717003329901,-34.596596818975,89.0,CATALINAS,E
-58.3704125010713,-34.6030139059231,88.0,CORREO CENTRAL,E
